Temparature,Humidity,Precipitation,Wind_Speed,Surface_Pressure,Profile_Soil_Moisture,Surface_Soil_Wetness,Root_Soil_wetness,Rice_production
25.30125,71.96125,5.27,1.72125,100.6,0.59125,0.59875,0.60875,20445872
25.55125,67.96125,4.61125,1.7325,100.6,,0.55,0.56625,21324640
26.14125,63.3975,1.97625,1.98625,100.62125,0.485,0.44125,0.49,21761008
25.55125,64.96125,4.61125,1.9275,100.50125,0.535,0.50125,0.55,21933456
26.14625,64.0775,3.29375,1.91375,100.46875,0.4975,0.455,0.50625,22556288
25.9175,,4.61125,1.82375,100.595,,0.5075,0.54875,23110032
26.045,67.22625,3.9525,1.735,100.6325,0.53125,0.51875,0.5425,23120624
26.32875,66.1875,2.635,1.87125,100.54375,0.525,0.49375,0.53875,23316464
26.17125,60.5625,1.3175,1.97125,100.5575,0.45875,0.4,0.4675,26784480
26.15375,66.0475,3.29375,1.84625,100.57125,0.49375,0.46375,0.505,26777904
26.32125,64.50125,2.635,1.88625,100.5825,0.495,0.45,0.50375,27242000
26.43625,60.91375,0.65875,1.8275,100.615,,0.39625,0.4575,27373000
26.1,64.815,2.635,1.88375,100.60375,0.495,0.46125,0.505,26928000
26.58875,60.03875,1.3175,1.87375,,0.4625,0.405,0.47,25124000
26.26125,64.04125,2.635,,100.55625,0.5175,0.47375,0.52625,26399000
26.2825,63.5875,1.97625,1.8325,100.51375,0.49375,0.45875,0.5025,28182000
25.44,68.1025,5.27,1.71625,100.64375,0.58375,0.5625,0.59875,28152000
25.34125,74.2125,5.27,1.73,100.61375,0.6575,0.66125,0.6775,29710000
25.65875,71.7425,5.27,1.80125,100.47375,0.63875,0.6225,0.65625,34430000
24.92875,74.39875,5.27,1.6725,100.50625,0.66,0.66875,0.6825,37627500
25.175,72.94375,5.27,1.65,100.54,0.65125,0.655,0.6725,36269000
25.25625,74.3425,5.27,1.64125,100.59875,0.6425,0.65,0.6625,37593000
25.1925,75.1425,5.27,1.6825,100.635,0.62,0.6325,0.6425,38361420
25.15125,75.32125,5.93,1.75875,100.6275,0.6475,0.64625,0.665,36235976
25.5225,75.28875,5.27,1.66875,100.59125,0.63875,0.64125,0.65875,39795616
25.52125,73.61,5.27,1.61375,100.6,0.6275,0.635,0.64875,40773000
25.04625,74.8675,6.59,,100.58125,0.6775,0.675,0.7,43181000
25.19375,75.485,5.27,1.61,100.55375,0.6425,0.6525,0.66,46742000
25.60375,73.7025,5.27,1.62375,100.55375,0.645,0.64625,0.665,48144000
25.63375,75.095,5.93,1.7675,100.58625,0.6475,0.65125,0.66875,50061200
25.20875,74.46875,5.27,1.66375,100.55875,0.6375,0.64125,0.655,50627000
25.10375,,5.27,1.815,100.49875,0.61375,0.61125,0.6325,50497000
25.275,73.82875,5.27,1.82375,100.53375,0.65625,0.65625,0.67625,51534000
25.70625,71.88375,5.27,1.695,100.595,0.63375,0.63,0.65375,51806593
25.6525,,6.59,1.6425,100.67125,0.66375,0.66125,0.68,51805464
25.9225,76.14875,7.91,1.64125,100.57375,0.70875,0.71125,0.72875,50452866
25.23875,79.93,12.525,1.64125,100.59125,0.7875,0.79,0.80625,54148000
,78.19375,7.91,1.51,100.5925,0.73375,0.75,0.75875,54416000
25.42,76.7975,9.22875,1.64125,100.645714,0.72375,0.72625,0.74625,54586344
